"","Temperature..K.","Luminosity.L.Lo.","Radius.R.Ro.","Absolute.magnitude.Mv.","Star.type","Star.color","Spectral.Class"
"192",3257,0.0024,0.46,10.73,"1","Red","M"
"193",2994,0.0072,0.28,13.45,"1","Red","M"
"194",3212,0.0016,0.378,12.854,"1","Red","M"
"195",3523,0.0054,0.319,12.43,"1","Red","M"
"196",3598,0.0027,0.67,13.667,"1","Red","M"
"197",3142,0.00132,0.258,14.12,"1","Red","M"
"198",3496,0.00125,0.336,14.94,"1","Red","M"
"199",3324,0.0065,0.471,12.78,"1","Red","M"
"200",3463,0.0027,0.675,14.776,"1","Red","M"
"201",16790,0.0014,0.0121,12.87,"2","Blue","B"
"202",15680,0.00122,0.0114,11.92,"2","Blue","B"
"203",14982,0.00118,0.0113,12.23,"2","Blue","B"
"204",13340,0.00109,0.0116,12.9,"2","Blue","B"
"205",18340,0.00134,0.0124,11.22,"2","Blue","B"
"206",19920,0.00156,0.0142,11.34,"2","Blue","B"
"207",24020,0.00159,0.0127,10.55,"2","Blue","B"
"208",23092,0.00132,0.0104,10.18,"2","Blue","B"
"209",17920,0.00111,0.0106,11.66,"2","Blue","B"
"210",19360,0.00125,0.00998,11.62,"2","Blue","B"
"211",22350,12450,6.36,-3.67,"3","Blue-white","B"
"212",10012,552,5.856,0.013,"3","Blue-white","A"
"213",13089,788,5.992,-0.12,"3","Blue-white","A"
"214",22012,6748,6.64,-2.55,"3","Blue-white","B"
"215",34190,198200,6.39,-4.57,"3","Blue","O"
"216",32460,173800,6.237,-4.36,"3","Blue","O"
"217",9320,29,1.91,1.236,"3","Blue-white","A"
"218",19400,10920,6.03,-3.08,"3","Blue-white","B"
"219",17140,883,5.653,-2.64,"3","Blue-white","B"
"220",8250,9.25,1.93,-0.98,"3","yellow-white","F"
"221",23678,244290,35,-6.27,"4","Blue","O"
"222",12749,332520,76,-7.02,"4","Blue","O"
"223",9383,342940,98,-6.98,"4","Blue","O"
"224",23440,537430,81,-5.975,"4","Blue","O"
"225",16787,246730,62,-6.35,"4","Blue","O"
"226",18734,224780,46,-7.45,"4","Blue","O"
"227",9892,593900,80,-7.262,"4","Blue","O"
"228",10930,783930,25,-6.224,"4","Blue","O"
"229",23095,347820,86,-5.905,"4","Blue","O"
"230",21738,748890,92,-7.346,"4","Blue","O"
"231",24145,382993,1494,-8.84,"5","Blue-white","B"
"232",38234,272830,1356,-9.29,"5","Blue","O"
"233",32489,648430,1948.5,-10.84,"5","Blue","O"
"234",27739,849420,1252,-7.59,"5","Blue-white","B"
"235",21904,748490,1130,-7.67,"5","Blue-white","B"
"236",38940,374830,1356,-9.93,"5","Blue","O"
"237",30839,834042,1194,-10.63,"5","Blue","O"
"238",8829,537493,1423,-10.73,"5","White","A"
"239",9235,404940,1112,-11.23,"5","White","A"
"240",37882,294903,1783,-7.8,"5","Blue","O"
